"","site","Gatun_dist","Cano_Quebrado_dist","Trinidad_dist","Ciri_Grande_dist","min_dist","dummy","mean","year","percentage","Oceangoing","Ciri_Grande_max","Trinidad_max","Cano_Quebrado_max","Gatun_max","Ciri_Grande_min","Trinidad_min","Cano_Quebrado_min","Gatun_min","Ciri_Grande_range","Trinidad_range","Cano_Quebrado_range","Gatun_range"
"104","ESC",23426.0581320076,18807.0372303987,13702.138906408,16418.2431695599,14719.139,0,0.188465909090909,"2010",0,12591,144,102,28.6,288,0.978,0.618,0.076,0.787,143.022,101.382,28.524,287.213
"105","LAT",24343.6003652747,358.105997715729,14859.7180488225,23984.9251634188,26352.156,0,0.188465909090909,"2010",0,12591,144,102,28.6,288,0.978,0.618,0.076,0.787,143.022,101.382,28.524,287.213
"106","TMR",31742.9503478206,22590.9018621568,36780.0814274588,45937.8004285664,8771.424,0,0.188465909090909,"2010",0,12591,144,102,28.6,288,0.978,0.618,0.076,0.787,143.022,101.382,28.524,287.213
"107","M12",33591.3561179688,24584.0846359102,38686.9480451806,47834.8959473604,6872.343,0,0.188465909090909,"2010",0,12591,144,102,28.6,288,0.978,0.618,0.076,0.787,143.022,101.382,28.524,287.213
"108","M2",35250.9072610082,25953.7087142782,39935.0883824051,49065.6350691072,5232.743,0,0.188465909090909,"2010",0,12591,144,102,28.6,288,0.978,0.618,0.076,0.787,143.022,101.382,28.524,287.213
"109","M5",33941.9830761875,24698.2645427892,38758.1266695193,47900.7831866536,6519.77,0,0.188465909090909,"2010",0,12591,144,102,28.6,288,0.978,0.618,0.076,0.787,143.022,101.382,28.524,287.213
"110","RAP",35134.0880670639,25803.6191830836,39787.5877621464,48918.6972759373,5340.872,0,0.188465909090909,"2010",0,12591,144,102,28.6,288,0.978,0.618,0.076,0.787,143.022,101.382,28.524,287.213
"111","RCO",35305.3240509728,25829.8646699048,39786.9547152142,48914.0403738518,5161.352,0,0.188465909090909,"2010",0,12591,144,102,28.6,288,0.978,0.618,0.076,0.787,143.022,101.382,28.524,287.213
"112","ARN",30428.7142739255,13869.2749379916,2266.66605623771,9948.50364903185,25332.565,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"113","BAT",20591.8953470582,20728.8132006056,17671.4322433271,20402.0152096503,10689.48,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"114","BCI",13614.4365716764,15252.8150983876,19186.3848092991,25216.3342469678,10988.875,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"115","DC1",19028.3808434717,16678.663815354,30779.6562958475,39640.837798094,21509.056,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"116","ESC",23426.0581320076,18807.0372303987,13702.138906408,16418.2431695599,14719.139,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"117","HUM",35937.6716455615,23842.6369092347,10413.3794279523,4785.59435961722,27124.664,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"118","LAT",24343.6003652747,358.105997715729,14859.7180488225,23984.9251634188,26352.156,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"119","MLR",7910.90187426184,23246.4106456374,27738.1044379479,32828.5702651639,5954.871,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"120","RAI",28922.5675863019,18315.8697676524,8411.76233678177,10127.8592118374,21113.423,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"121","TAR",24563.7642682102,534.599126074885,13972.7180001065,23094.2257097916,26097.38,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"122","TME",24216.5906242848,894.404151153207,13778.891177105,22874.8573122282,25613.735,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"123","TMR",31742.9503478206,22590.9018621568,36780.0814274588,45937.8004285664,8771.424,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"124","M2",35250.9072610082,25953.7087142782,39935.0883824051,49065.6350691072,5232.743,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"125","M5",33941.9830761875,24698.2645427892,38758.1266695193,47900.7831866536,6519.77,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"126","M12",33591.3561179688,24584.0846359102,38686.9480451806,47834.8959473604,6872.343,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"127","RAP",35134.0880670639,25803.6191830836,39787.5877621464,48918.6972759373,5340.872,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"128","RCO",35305.3240509728,25829.8646699048,39786.9547152142,48914.0403738518,5161.352,0,0.191666666666667,"2012",0,12862,340.9,255,33.5,85.6,1.38,1.01,0.216,1.03,339.52,253.99,33.284,84.57
"129","ARN",30428.7142739255,13869.2749379916,2266.66605623771,9948.50364903185,25332.565,0,0.193497536945813,"2013",0,12233.4715263022,78.1,74.7,23.3,51.2,1.18,0.81,0.18,0.744,76.92,73.89,23.12,50.456
"130","BAT",20591.8953470582,20728.8132006056,17671.4322433271,20402.0152096503,10689.48,0,0.193497536945813,"2013",0,12233.4715263022,78.1,74.7,23.3,51.2,1.18,0.81,0.18,0.744,76.92,73.89,23.12,50.456
