"site","delay","dist"
"ARN",295,25332.565
"BAT",51,10689.48
"BCI",141,10988.875
"DC1",1059,21509.056
"ESC",51,14719.139
"HUM",1058,27124.664
"M12",57,6872.343
"M2",57,5232.743
"M5",57,6519.77
"MLR",51,5954.871
"RAI",232,21113.423
"RAP",57,5340.872
"RCO",57,5161.352
"TAC",1281,25939.737
"TAS",297,12880.456
"TMH",261,3912.728
"TMR",52,8771.424
