"","site","depth","date","data","delta"
"706","TAG","Shallow",2003-11-11,0,0
"707","TAG","Shallow",2003-12-16,0,0
"708","TAG","Shallow",2004-01-14,0,0
"709","TAG","Shallow",2004-02-12,0,0
"710","TAG","Shallow",2004-03-09,0,0
"711","TAG","Shallow",2004-04-14,0,0
"712","TAG","Shallow",2004-05-11,0,0
"713","TAG","Shallow",2004-06-10,0,0
"714","TAG","Shallow",2004-07-14,0,0
"715","TAG","Shallow",2004-08-10,0,0
"716","TAG","Shallow",2004-09-15,0,0
"717","TAG","Shallow",2004-10-12,0,0
"718","TAG","Shallow",2004-11-11,0,0
"719","TAG","Shallow",2004-12-09,0,0
"720","TAG","Shallow",2005-01-11,0,0
"721","TAG","Shallow",2005-02-15,0,0
"722","TAG","Shallow",2005-03-08,0,0
"723","TAG","Shallow",2005-04-12,0,0
"724","TAG","Shallow",2005-05-10,0,0
"725","TAG","Shallow",2005-06-07,0,0
"726","TAG","Shallow",2005-07-12,0,0
"727","TAG","Shallow",2005-08-09,0,0
"728","TAG","Shallow",2005-09-22,0,0
"729","TAG","Shallow",2005-10-11,0,0
"730","TAG","Shallow",2005-11-14,0,0
"731","TAG","Shallow",2005-12-13,0,0
"741","BOP","Shallow",2007-01-23,0.05,0.05
"742","BOP","Shallow",2007-02-07,0.06,0.01
"743","BOP","Shallow",2007-03-20,0.07,0.01
"744","BOP","Shallow",2007-04-26,0.05,-0.02
"745","BOP","Shallow",2007-05-22,0.05,0
"746","BOP","Shallow",2007-06-28,0.05,0
"747","BOP","Shallow",2007-07-24,0.05,0
"748","BOP","Shallow",2007-08-28,0.04,-0.01
"749","BOP","Shallow",2007-09-25,0.04,0
"750","BOP","Shallow",2007-10-16,0.06,0.02
"751","BOP","Shallow",2007-11-13,0.05,-0.01
"752","BOP","Shallow",2007-12-11,0.05,0
"765","DCH","Shallow",2007-01-23,0.04,0.04
"766","DCH","Shallow",2007-02-07,0.05,0.01
"767","DCH","Shallow",2007-03-20,0.04,-0.01
"768","DCH","Shallow",2007-04-26,0.03,-0.01
"769","DCH","Shallow",2007-05-22,0.02,-0.01
"770","DCH","Shallow",2007-06-28,0.03,0.01
